loan_amnt,funded_amnt,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,loan_status,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,repaid,total_return,loan_term_year,annual_return
2400,2400,36 months,15.96,84.33,C,C5,RENT,12252.0,Not Verified,Fully Paid,small_business,IL,8.72,0.0,Nov-2001,2.0,2.0,0.0,2956,1,0.2523611850580416,3,0.0778951875916114
10000,10000,36 months,13.49,339.31,C,C1,RENT,49200.0,Source Verified,Fully Paid,other,CA,20.0,0.0,Feb-1996,1.0,10.0,0.0,5598,1,0.22318900000009023,3,0.06945994233023689
3000,3000,36 months,18.64,109.43,E,E1,RENT,48000.0,Source Verified,Fully Paid,car,CA,5.35,0.0,Jan-2007,2.0,4.0,0.0,8221,1,0.31304509796856594,3,0.0950313365005575
5600,5600,60 months,21.28,152.39,F,F2,OWN,40000.0,Source Verified,Charged Off,small_business,CA,5.55,0.0,Apr-2004,2.0,11.0,0.0,5210,0,-0.8503499999999999,5,-0.3160641887307103
5375,5375,60 months,12.69,121.45,B,B5,RENT,15000.0,Verified,Charged Off,other,TX,18.08,0.0,Sep-2004,0.0,2.0,0.0,9279,0,-0.6721339534883721,5,-0.19990917760085591
12000,12000,36 months,12.69,402.54,B,B5,OWN,75000.0,Source Verified,Fully Paid,debt_consolidation,CA,10.78,0.0,Oct-1989,0.0,12.0,0.0,23336,1,0.16233242959657512,3,0.05142133427759732
3000,3000,36 months,9.91,96.68,B,B1,RENT,15000.0,Source Verified,Fully Paid,credit_card,IL,12.56,0.0,Jul-2003,2.0,11.0,0.0,7323,1,0.16008999980759997,3,0.05074474746812818
10000,10000,36 months,10.65,325.74,B,B2,RENT,100000.0,Source Verified,Charged Off,other,CA,7.06,0.0,May-1991,2.0,14.0,0.0,11997,0,-0.188291,3,-0.06717512104599754
10000,10000,36 months,15.27,347.98,C,C4,RENT,42000.0,Not Verified,Fully Paid,home_improvement,CA,18.6,0.0,Oct-1998,2.0,14.0,0.0,24043,1,0.25271500000007996,3,0.07799668640263846
9200,9200,36 months,6.03,280.01,A,A1,RENT,77385.0,Not Verified,Fully Paid,debt_consolidation,CA,9.86,0.0,Jan-2001,0.0,8.0,0.0,7314,1,0.028260961746424007,3,0.009332945727604569
20250,20250,60 months,15.27,484.63,C,C4,RENT,43370.0,Verified,Fully Paid,debt_consolidation,TX,26.53,0.0,Nov-1997,3.0,8.0,0.0,17813,1,0.3668666665199789,5,0.0644989331446677
21000,21000,36 months,12.42,701.73,B,B4,RENT,105000.0,Verified,Charged Off,debt_consolidation,FL,13.22,0.0,Feb-1983,0.0,7.0,0.0,32135,0,-0.331247619047619,3,-0.12550946405165198
10000,10000,36 months,11.71,330.76,B,B3,OWN,50000.0,Source Verified,Fully Paid,credit_card,TX,11.18,0.0,Jul-1985,0.0,8.0,0.0,10056,1,0.19073500000014998,3,0.059916630443275665
10000,10000,36 months,11.71,330.76,B,B3,RENT,50000.0,Not Verified,Fully Paid,debt_consolidation,CA,16.01,0.0,Apr-2003,0.0,6.0,0.0,17800,1,0.15408919774065,3,0.048929884126968526
6000,6000,36 months,11.71,198.46,B,B3,RENT,76000.0,Not Verified,Charged Off,major_purchase,CA,2.4,0.0,Jun-2001,1.0,7.0,0.0,5963,0,-0.6115216666666667,3,-0.2703370960694913
